  PID  PGID   SID TTY          TIME CMD
    2     0     0 ?        00:00:00 kthreadd
  178     0     0 ?        00:00:00   scsi_eh_0
  179     0     0 ?        00:00:00   scsi_eh_1
  201     0     0 ?        00:00:00   deferwq
  202     0     0 ?        00:00:00   charger_manager
  203     0     0 ?        00:00:00   kworker/1:2
  249     0     0 ?        00:00:00   mpt_poll_0
  250     0     0 ?        00:00:00   mpt/0
  252     0     0 ?        00:00:00   scsi_eh_2
  253     0     0 ?        00:00:00   scsi_eh_3
  254     0     0 ?        00:00:00   scsi_eh_4
  255     0     0 ?        00:00:00   scsi_eh_5
  256     0     0 ?        00:00:00   scsi_eh_6
  257     0     0 ?        00:00:00   scsi_eh_7
  258     0     0 ?        00:00:00   scsi_eh_8
  259     0     0 ?        00:00:00   scsi_eh_9
  260     0     0 ?        00:00:00   scsi_eh_10
  261     0     0 ?        00:00:00   scsi_eh_11
  262     0     0 ?        00:00:00   scsi_eh_12
  263     0     0 ?        00:00:00   scsi_eh_13
  264     0     0 ?        00:00:00   scsi_eh_14
  265     0     0 ?        00:00:00   scsi_eh_15
  266     0     0 ?        00:00:00   scsi_eh_16
  267     0     0 ?        00:00:00   scsi_eh_17
  268     0     0 ?        00:00:00   scsi_eh_18
  269     0     0 ?        00:00:00   scsi_eh_19
  270     0     0 ?        00:00:00   scsi_eh_20
  271     0     0 ?        00:00:00   scsi_eh_21
  272     0     0 ?        00:00:00   scsi_eh_22
  273     0     0 ?        00:00:00   scsi_eh_23
  274     0     0 ?        00:00:00   scsi_eh_24
  275     0     0 ?        00:00:00   scsi_eh_25
  276     0     0 ?        00:00:00   scsi_eh_26
  277     0     0 ?        00:00:00   scsi_eh_27
  278     0     0 ?        00:00:00   scsi_eh_28
  279     0     0 ?        00:00:00   scsi_eh_29
  280     0     0 ?        00:00:00   scsi_eh_30
  281     0     0 ?        00:00:00   scsi_eh_31
  306     0     0 ?        00:00:00   kworker/u128:28
  310     0     0 ?        00:00:00   kpsmoused
  311     0     0 ?        00:00:00   scsi_eh_32
  322     0     0 ?        00:00:00   jbd2/sda1-8
  323     0     0 ?        00:00:00   ext4-rsv-conver
  488     0     0 ?        00:00:00   ttm_swap
  503     0     0 ?        00:00:00   hci0
  504     0     0 ?        00:00:00   hci0
  506     0     0 ?        00:00:00   kworker/u129:2
  887     0     0 ?        00:00:00   krfcommd
 1454     0     0 ?        00:00:00   kauditd
 2152     0     0 ?        00:00:00   kworker/0:2
 9726     0     0 ?        00:00:00   kworker/u128:1
    1     1     1 ?        00:00:01 init
  443   442   442 ?        00:00:00   upstart-udev-br
  451   451   451 ?        00:00:00   systemd-udevd
  622   621   621 ?        00:00:00   upstart-socket-
  839   839   839 ?        00:00:00   dbus-daemon
  855   854   854 ?        00:00:00   upstart-file-br
  873   873   873 ?        00:00:00   ModemManager
  874   874   874 ?        00:00:00   bluetoothd
  911   911   911 ?        00:00:00   rsyslogd
  966   966   966 ?        00:00:00   systemd-logind
  986   985   985 ?        00:00:00   avahi-daemon
  997   985   985 ?        00:00:00     avahi-daemon
 1026  1026  1026 tty4     00:00:00   getty
 1031  1031  1031 tty5     00:00:00   getty
 1037  1037  1037 tty2     00:00:00   getty
 1038  1038  1038 tty3     00:00:00   getty
 1041  1041  1041 tty6     00:00:00   getty
 1145  1145  1145 ?        00:00:01   irqbalance
 1149  1149  1149 ?        00:00:01   NetworkManager
 1279  1279  1149 ?        00:00:00     dhclient
 1401  1401  1149 ?        00:00:00     dnsmasq
 1153  1153  1153 ?        00:00:00   cups-browsed
 1162   839   839 ?        00:00:00   polkitd
 1172  1172  1172 ?        00:00:00   kerneloops
 1174  1174  1174 ?        00:00:00   cron
 1225  1225  1225 tty1     00:00:00   getty
 1267  1267  1267 ?        00:00:00   acpid
 1274  1274  1274 ?        00:00:00   whoopsie
 1330  1330  1330 ?        00:00:00   lightdm
 1381  1381  1381 tty7     00:00:51     Xorg
 1595  1330  1330 ?        00:00:00     lightdm
 1903  1903  1903 ?        00:00:00       init
 1998  1998  1998 ?        00:00:01         dbus-daemon
 2010  2010  2010 ?        00:00:00         upstart-event-b
 2025  2025  2025 ?        00:00:10         ibus-daemon
 2111  2025  2025 ?        00:00:00           ibus-dconf
 2113  2025  2025 ?        00:00:02           ibus-ui-gtk3
 2134  2025  2025 ?        00:00:01           ibus-engine-sim
 2037  2037  2037 ?        00:00:00         window-stack-br
 2043  2041  2041 ?        00:00:00         upstart-dbus-br
 2046  2045  2045 ?        00:00:00         upstart-dbus-br
 2048  2047  2047 ?        00:00:00         upstart-file-br
 2062  2062  2062 ?        00:00:00         unity-settings-
 2067  2067  2067 ?        00:00:09         hud-service
 2068  2068  2068 ?        00:00:00         at-spi-bus-laun
 2074  2068  2068 ?        00:00:00           dbus-daemon
 2069  2069  2069 ?        00:00:00         gnome-session
 2344  2069  2069 ?        00:00:32           compiz
 2358  2069  2069 ?        00:00:00           nm-applet
 2363  2069  2069 ?        00:00:00           polkit-gnome-au
 2366  2069  2069 ?        00:00:03           nautilus
 2370  2069  2069 ?        00:00:00           unity-fallback-
 2499  2069  2069 ?        00:00:00           telepathy-indic
 9160  2069  2069 ?        00:00:00           update-notifier
 9212  2069  2069 ?        00:00:00           deja-dup-monito
 2076  2076  2076 ?        00:00:05         unity-panel-ser
 2081  2068  2068 ?        00:00:00         at-spi2-registr
 2089  1998  1998 ?        00:00:00         gvfsd
 2093  1998  1998 ?        00:00:00         gvfsd-fuse
 2115  2025  2025 ?        00:00:00         ibus-x11
 2142  1998  1998 ?        00:00:01         bamfdaemon
 2160  2159  2159 ?        00:00:00         pulseaudio
 2176  1998  1998 ?        00:00:00         dconf-service
 2184  1998  1998 ?        00:00:00         indicator-keybo
 2198  2198  2198 ?        00:00:00         indicator-messa
 2200  2200  2200 ?        00:00:00         indicator-bluet
 2202  2202  2202 ?        00:00:00         indicator-power
 2207  2207  2207 ?        00:00:00         indicator-datet
 2212  2212  2212 ?        00:00:00         indicator-sound
 2213  2213  2213 ?        00:00:00         indicator-print
 2219  2219  2219 ?        00:00:00         indicator-sessi
 2222  2222  2222 ?        00:00:00         indicator-appli
 2253  1998  1998 ?        00:00:00         evolution-sourc
 2258  1998  1998 ?        00:00:00         notify-osd
 2355  1998  1998 ?        00:00:00         evolution-calen
 2374  1998  1998 ?        00:00:00         gconfd-2
 2389  1998  1998 ?        00:00:00         gvfs-udisks2-vo
 2412  1998  1998 ?        00:00:00         gvfs-mtp-volume
 2416  1998  1998 ?        00:00:00         gvfs-gphoto2-vo
 2420  1998  1998 ?        00:00:00         gvfs-afc-volume
 2445  1998  1998 ?        00:00:00         gvfsd-burn
 2457  1998  1998 ?        00:00:00         gvfsd-trash
 2506  1998  1998 ?        00:00:00         mission-control
 2653  1998  1998 ?        00:00:00         zeitgeist-daemo
 2660  1998  1998 ?        00:00:00         zeitgeist-fts
 2687  1998  1998 ?        00:00:00           cat
 2662  1998  1998 ?        00:00:00         zeitgeist-datah
 3818  2069  2069 ?        00:00:00         eclipse
 5373  2069  2069 ?        00:02:10           java
10355 10355  2069 ?        00:00:00             homework8
 7107  1998  1998 ?        00:00:00         unity-scope-hom
 7505  1998  1998 ?        00:00:00         unity-scope-loa
 7506  1998  1998 ?        00:00:00         unity-files-dae
 8717  2069  2069 ?        00:00:03         gnome-terminal
 8725  2069  2069 ?        00:00:00           gnome-pty-helpe
 8726  8726  8726 pts/0    00:00:00           bash
10364 10364  8726 pts/0    00:00:00             ps
 8967  2069  2069 ?        00:00:03         vmtoolsd
 9872  1998  1998 ?        00:00:00         gvfsd-metadata
 1384   839   839 ?        00:00:00   accounts-daemon
 1641   839   839 ?        00:00:00   upowerd
 1747   839   839 ?        00:00:00   rtkit-daemon
 1901  1900  1900 ?        00:00:00   gnome-keyring-d
 2151   839   839 ?        00:00:00   colord
 2168  2168  2168 ?        00:00:00   cupsd
 2186  2186  2168 ?        00:00:00     dbus
 2187  2187  2168 ?        00:00:00     dbus
 2433  2433  2168 ?        00:00:00     dbus
 2291  2291  2291 ?        00:00:00   tpvmlp
 2400   839   839 ?        00:00:00   udisksd
 8955  8955  8955 ?        00:00:00   vmware-vmblock-
